funding,team_experience,market_size,competition,business_model,years_operating,burn_rate,revenue_growth,debt_ratio,failure
9129973,1,2,6,9,12,0.741,0.913,0.92,0
6657099,6,9,2,8,14,0.386,0.176,1.001,0
3265360,2,1,2,5,5,0.175,0.415,1.558,1
6119074,6,6,5,4,4,0.829,-0.234,1.325,1
9058589,7,1,5,5,3,0.64,1.362,0.361,0
7869394,6,4,2,1,9,0.229,0.853,0.671,0
803558,9,7,2,1,6,0.937,0.17,0.341,1
5410461,5,5,1,6,3,0.45,0.558,0.187,0
8522727,9,2,8,4,14,0.158,0.58,1.581,0
7985743,1,2,2,1,7,0.052,0.833,0.46,0
9273362,3,3,3,6,5,0.568,0.219,1.249,0
796128,9,3,5,9,7,0.925,-0.061,1.626,1
4961225,1,3,5,5,10,0.354,0.779,0.757,1
9161095,1,5,5,3,9,0.368,1.262,1.932,1
4391034,6,2,6,9,6,0.12,0.859,0.907,1
2399145,1,8,1,1,12,0.184,1.174,1.092,1
6163178,7,7,5,5,8,0.348,0.506,0.544,0
6503017,9,4,3,6,12,0.773,1.176,1.081,0
6421755,5,1,9,9,9,0.202,1.018,1.717,1
1055857,7,8,6,5,9,0.619,0.139,1.962,1
5848443,9,8,8,4,9,0.211,0.389,1.681,0
2828321,5,8,7,1,13,0.328,1.397,1.959,1
8583738,8,5,2,4,6,0.606,0.154,1.827,0
168505,1,8,9,8,8,0.696,0.603,0.353,1
2822598,1,7,7,1,1,0.899,1.481,1.467,1
8787359,1,8,3,5,13,0.356,1.344,0.898,0
1145690,9,6,9,9,9,0.9,-0.062,0.308,1
9389913,1,1,8,7,6,0.21,0.194,0.788,0
7200167,2,3,5,3,12,0.889,1.44,1.232,0
5321820,2,6,4,4,14,0.851,1.268,1.627,1
3907161,3,4,4,4,2,0.443,0.802,0.827,1
6827186,1,5,5,1,6,0.732,-0.247,1.826,1
7280346,9,6,5,2,2,0.718,0.187,1.985,0
1381404,5,7,1,2,6,0.827,0.665,1.788,1
7557490,3,3,6,1,12,0.138,0.39,1.281,1
1718952,9,8,3,6,8,0.874,1.159,1.905,0
877689,8,3,2,1,8,0.286,0.157,0.748,1
715187,4,8,4,4,6,0.267,1.397,0.921,1
8619493,9,7,5,4,2,0.229,0.283,0.937,0
4096553,4,1,8,3,4,0.358,1.282,0.754,1
2945717,5,4,7,9,12,0.28,0.747,0.784,1
3714978,5,3,2,8,9,0.155,0.869,1.847,1
1529645,5,1,1,8,12,0.364,1.057,0.017,1
5769855,5,5,2,9,1,0.912,0.721,0.718,0
9211313,4,4,6,9,7,0.253,1.191,0.968,0
4166387,3,3,7,5,7,0.196,0.562,0.424,1
1985044,1,4,7,9,13,0.148,0.88,1.442,1
3390322,5,1,5,2,12,0.731,0.815,0.711,1
6776185,7,4,7,5,14,0.784,0.503,0.946,0
2253089,6,2,1,9,12,0.39,-0.261,1.679,1
6710322,1,3,2,9,5,0.82,-0.194,0.491,0
7073542,2,7,4,9,2,0.908,1.323,0.87,0
538692,8,6,5,2,13,0.636,1.145,0.707,1
231911,1,1,6,7,10,0.062,0.34,0.759,1
7761158,5,6,9,3,3,0.808,0.085,0.49,1
5837618,2,2,5,1,9,0.674,0.164,1.595,1
5478882,8,3,6,4,2,0.676,0.404,0.201,0
8135380,1,6,8,9,4,0.713,1.41,0.317,0
3810671,2,1,7,5,3,0.484,0.572,0.047,1
6039628,3,2,7,5,13,0.092,0.704,0.084,0
1670207,1,4,9,4,14,0.839,0.313,1.3,1
1569832,5,7,6,3,7,0.284,0.191,1.505,1
8061745,5,7,7,3,9,0.059,-0.208,1.629,0
6155068,6,8,1,3,11,0.494,1.2,0.08,0
3452067,7,8,6,5,10,0.878,0.533,1.303,1
1093433,5,9,5,1,14,0.621,-0.062,0.62,1
5865451,7,1,4,2,0,0.417,1.249,1.725,1
839470,4,8,9,2,13,0.123,1.349,1.263,1
6999111,3,6,5,6,6,0.753,1.247,0.765,0
1555065,5,5,9,3,10,0.877,0.154,0.551,1
5255025,3,2,5,3,2,0.108,0.388,1.457,1
5735855,7,6,8,6,5,0.835,1.324,1.582,0
8439255,7,6,2,3,7,0.689,0.342,1.491,0
1112235,7,1,6,4,7,0.524,0.99,1.945,1
9278837,2,8,8,4,0,0.431,1.169,0.455,0
5824247,1,7,6,5,4,0.405,1.428,1.865,0
8295710,9,6,3,2,4,0.79,0.72,1.553,0
1330452,1,3,4,3,4,0.751,-0.27,1.237,1
7228766,1,7,2,5,3,0.61,-0.21,0.383,1
9424539,4,3,1,1,5,0.172,0.026,1.319,0
8535138,8,4,6,7,9,0.729,0.152,0.239,0
3773582,4,8,6,1,13,0.719,0.499,1.827,1
7724722,4,7,3,6,11,0.146,1.33,1.149,0
5673367,9,1,5,1,10,0.51,0.738,1.074,0
8960654,9,9,6,2,10,0.406,0.347,1.87,0
4333443,7,6,2,2,6,0.669,1.14,0.304,0
3197363,3,9,5,7,6,0.244,0.808,1.53,1
5706416,1,8,5,1,2,0.719,1.17,0.45,1
3140803,7,2,7,2,12,0.127,0.451,1.879,1
4776919,2,9,6,6,5,0.337,-0.29,1.247,1
1760336,4,2,3,6,5,0.503,1.467,1.06,1
8882451,1,7,7,9,10,0.705,0.307,1.278,1
7048437,6,1,5,7,1,0.767,-0.237,1.523,0
973845,8,6,3,5,3,0.261,1.017,1.899,0
2819771,6,4,4,2,5,0.601,1.1,0.329,0
3448749,7,7,1,1,2,0.609,0.71,1.206,1
1074164,8,8,9,4,4,0.526,0.739,0.043,1
1464621,6,6,2,3,4,0.792,0.186,1.682,1
160857,6,2,4,2,12,0.124,0.937,1.213,1
2102466,4,2,7,7,9,0.656,0.456,0.976,1
5450866,4,4,6,4,2,0.51,0.059,1.978,1
2276633,7,2,7,9,9,0.082,0.125,1.551,1
4007845,8,4,3,3,13,0.748,0.039,0.867,1
1738085,3,8,5,3,10,0.127,0.599,0.343,1
2720671,4,1,4,3,2,0.199,0.943,0.168,0
1834351,6,1,1,7,8,0.442,-0.035,0.034,1
1476274,6,4,4,8,8,0.924,1.346,1.708,1
8448148,7,4,5,7,13,0.077,0.07,0.542,0
2499877,8,2,3,8,6,0.306,-0.174,1.455,1
2428048,8,4,6,1,3,0.686,1.382,1.737,1
2738174,4,7,5,9,1,0.79,1.362,0.21,0
2515332,6,1,1,2,2,0.344,-0.282,1.391,1
3894647,2,5,6,9,7,0.452,0.603,1.127,1
7539063,8,1,1,6,13,0.153,1.415,1.338,0
5319445,3,4,4,6,14,0.453,0.412,1.974,1
2381023,3,2,5,7,7,0.654,1.344,0.643,1
3983966,8,9,2,5,11,0.803,0.231,0.345,0
5037552,2,7,6,5,9,0.298,1.415,1.923,0
1622712,7,9,1,4,5,0.433,0.174,0.233,1
8392573,1,6,1,5,5,0.345,1.183,0.376,0
5502776,7,5,1,2,0,0.651,0.034,0.136,0
6868364,9,2,6,7,10,0.833,0.116,1.908,1
4190283,7,1,7,6,14,0.321,0.464,1.118,1
3591861,5,6,2,5,2,0.921,0.181,1.388,1
3834293,1,3,2,7,9,0.45,1.346,0.523,0
9966175,5,8,7,6,8,0.164,1.323,1.841,0
4742772,2,7,4,8,2,0.474,1.151,1.977,1
9476371,1,4,7,3,14,0.758,0.15,0.508,0
2300978,4,9,2,2,14,0.247,-0.018,1.125,1
4682780,3,5,9,5,2,0.929,-0.276,1.066,1
8001426,1,5,6,1,3,0.915,1.425,1.465,0
570818,8,7,2,9,1,0.368,0.344,1.84,1
1074185,7,6,2,1,10,0.787,1.072,0.242,1
3615848,3,7,6,2,13,0.945,1.128,1.142,1
8508358,1,9,4,2,8,0.326,0.828,0.134,0
621081,1,7,2,8,0,0.276,-0.258,1.031,1
5545198,3,5,4,6,2,0.899,0.866,0.58,0
6223687,2,1,7,9,1,0.161,0.3,0.628,0
245283,1,5,7,7,0,0.373,0.567,1.715,1
1165510,2,4,5,9,14,0.149,0.84,1.086,1
3489826,5,7,6,3,12,0.283,0.12,0.329,1
8783539,3,1,8,3,7,0.657,1.137,0.311,0
7162176,9,5,3,6,1,0.675,0.94,1.145,0
5107104,5,3,1,4,6,0.177,1.269,0.476,0
1727289,3,2,4,7,4,0.356,0.784,1.963,1
7685575,3,6,6,7,4,0.932,1.018,1.243,0
3054857,4,3,6,6,12,0.714,0.648,0.971,1
1869629,7,5,1,5,11,0.471,-0.203,0.66,1
445013,3,5,1,7,8,0.165,0.706,0.111,1
1059351,7,7,2,9,14,0.751,0.648,0.063,1
9813305,7,5,8,4,1,0.426,0.63,1.604,0
1654443,1,4,4,9,13,0.23,0.436,0.473,1
4424103,5,1,8,8,5,0.338,0.953,0.102,1
1463504,2,6,2,6,0,0.686,0.471,1.008,1
1659381,7,7,6,3,0,0.788,0.075,1.077,1
63865,4,8,6,9,3,0.816,1.059,0.47,1
3258317,2,4,8,7,9,0.657,0.982,0.897,1
5771193,8,5,5,9,1,0.114,0.345,1.209,0
7511510,6,5,9,1,14,0.101,1.381,1.263,0
82375,7,9,5,3,1,0.768,0.437,1.813,1
5041939,9,7,7,5,13,0.619,-0.193,0.46,1
3793175,7,7,4,4,12,0.427,1.243,0.866,0
663058,5,5,1,6,1,0.181,0.368,1.612,1
262005,8,2,9,5,4,0.279,0.054,1.548,1
2570862,7,1,7,9,13,0.325,0.724,1.73,1
7422211,8,2,5,6,11,0.911,0.956,1.18,0
4376894,7,9,5,6,14,0.095,0.205,0.264,1
4082452,5,9,1,6,8,0.29,-0.11,0.315,0
7924524,1,4,7,6,6,0.509,0.589,1.042,0
1930652,8,7,4,3,12,0.918,1.094,1.717,1
3548779,6,1,6,3,6,0.241,0.498,0.273,1
7092083,9,4,7,8,14,0.679,0.399,1.779,0
957562,3,6,5,2,0,0.557,-0.003,1.958,1
3013759,6,4,8,2,11,0.35,1.353,0.104,0
5716293,1,6,6,5,10,0.395,1.186,1.465,1
7161285,6,7,2,6,5,0.862,1.422,1.839,0
5134238,8,3,2,4,1,0.534,1.162,1.986,1
7927484,5,8,6,9,3,0.379,0.379,1.421,0
541637,8,7,5,7,9,0.77,-0.289,1.462,1
3990194,6,7,8,4,10,0.438,0.04,1.428,1
9340092,5,1,8,9,8,0.753,-0.175,1.873,1
8430541,4,3,2,5,0,0.557,0.014,0.939,0
9722683,4,7,6,8,7,0.15,0.155,1.26,0
797990,4,6,7,2,12,0.065,0.059,0.417,1
2848588,1,4,6,4,3,0.409,0.116,0.043,1
5551216,6,2,5,1,11,0.481,1.367,0.871,1
6092569,4,9,7,3,7,0.325,1.229,0.086,0
4180332,3,5,4,5,8,0.302,0.166,0.827,1
8679814,9,6,8,3,3,0.931,1.271,1.285,0
2517150,3,9,4,1,0,0.908,0.837,1.24,1
3242040,7,4,6,3,4,0.448,0.122,0.004,1
8004158,3,4,4,8,1,0.308,0.674,1.035,0
3194025,1,4,5,2,8,0.743,0.22,1.577,1
1667993,7,5,1,5,4,0.576,0.98,1.898,1
9451373,2,5,6,8,11,0.207,0.825,0.23,0
1822381,7,2,5,5,6,0.878,0.642,1.046,1
9286422,5,6,9,8,14,0.436,1.146,0.761,0
1068906,5,1,7,5,10,0.143,0.995,1.034,1
5868342,1,7,7,2,4,0.567,1.039,0.32,0
2379975,3,2,6,1,11,0.881,0.888,1.773,1
5184632,7,2,5,4,6,0.534,1.295,0.648,0
6126018,4,2,3,8,11,0.061,0.995,1.251,0
644799,7,5,7,5,8,0.191,1.403,0.54,0
8535982,2,6,6,5,11,0.757,0.778,1.998,0
3070085,2,1,3,6,3,0.657,-0.201,0.853,1
5018966,2,4,7,8,8,0.519,0.763,0.51,0
4731420,5,6,1,4,0,0.735,0.223,0.047,1
9801658,5,4,4,1,7,0.737,1.493,1.749,0
2743943,2,5,6,9,12,0.879,1.354,0.375,0
8104587,9,5,3,2,7,0.837,-0.229,1.711,1
6836695,2,6,1,4,12,0.207,0.669,0.74,0
9279261,3,2,4,4,9,0.478,1.464,0.336,0
8638609,3,2,8,8,5,0.415,1.445,0.43,0
3683076,3,6,9,7,11,0.78,0.998,0.44,0
3533463,8,9,2,2,13,0.626,0.447,0.207,0
513932,7,8,1,9,3,0.48,0.303,0.192,1
2206969,4,6,7,7,8,0.75,1.102,0.102,0
6479912,7,6,2,1,8,0.705,0.114,0.994,1
6720862,2,3,3,6,8,0.281,-0.264,0.991,1
3194902,4,4,4,9,9,0.151,0.66,0.197,0
1738393,1,5,8,4,10,0.826,0.082,0.717,1
7570600,5,4,9,1,13,0.096,0.27,0.726,1
1359392,5,6,4,4,13,0.189,0.87,0.762,1
2986371,8,8,7,4,0,0.136,1.385,1.009,0
6760127,9,7,4,9,10,0.221,0.429,0.025,0
130499,2,3,7,9,2,0.834,1.23,0.94,1
9591593,5,4,8,6,1,0.815,-0.073,1.266,1
9516570,5,3,2,2,4,0.819,0.486,1.929,0
4470455,7,2,9,7,0,0.531,0.703,0.709,1
2950088,7,6,1,7,5,0.229,0.123,1.61,1
8039819,7,1,9,6,4,0.284,0.032,1.482,0
7669613,7,3,8,5,12,0.297,0.911,0.659,0
1379520,3,8,5,6,8,0.874,0.408,0.232,1
8926000,3,2,8,4,9,0.37,0.585,1.49,1
3191787,1,4,4,3,2,0.75,0.475,1.9,1
9546143,3,6,7,6,6,0.772,0.217,1.051,0
1624395,4,3,1,4,13,0.854,0.777,0.181,1
5727266,4,6,5,3,1,0.626,0.592,1.533,1
2828339,2,3,6,3,2,0.596,0.643,0.143,1
326000,3,8,1,5,14,0.114,0.462,1.711,1
1308623,5,6,6,9,8,0.459,0.164,1.059,1
6299253,3,3,1,5,7,0.53,-0.172,1.337,1
2668429,9,6,1,4,0,0.504,0.681,0.304,0
6803469,8,3,9,9,1,0.683,1.464,0.003,0
3224482,7,5,8,4,6,0.064,0.854,0.835,0
9694834,7,2,6,9,10,0.531,1.06,1.902,0
7079559,8,4,9,5,12,0.663,1.342,1.441,0
4527302,1,1,5,7,3,0.642,-0.056,1.801,1
463322,5,2,1,8,5,0.354,0.984,1.039,1
477266,5,3,8,3,3,0.123,0.001,0.286,1
1762684,6,8,8,7,11,0.512,1.216,0.749,1
8464006,6,7,8,8,8,0.526,0.672,0.285,0
2466569,2,6,2,9,3,0.266,0.058,0.654,1
7231752,9,6,6,8,7,0.712,0.62,0.965,0
8911278,3,1,2,2,0,0.125,-0.201,0.547,0
9314802,9,7,6,6,5,0.779,1.251,0.152,0
912383,1,3,6,2,5,0.425,-0.219,1.78,1
5359772,1,2,5,7,11,0.328,0.103,0.032,1
2176768,4,4,3,3,7,0.402,0.529,1.839,1
9522590,5,7,5,3,4,0.617,0.634,1.17,0
1862864,3,9,1,1,8,0.379,0.9,0.955,1
482474,7,8,4,1,0,0.686,0.473,1.896,1
492051,8,3,5,8,2,0.723,1.039,1.779,1
4954683,9,8,3,7,5,0.119,0.538,0.793,0
2949164,7,8,3,2,10,0.386,0.674,0.783,1
9116452,7,4,3,3,9,0.184,1.2,1.731,0
6972205,5,3,1,5,8,0.343,0.988,1.612,0
6861256,3,9,5,2,5,0.189,-0.271,1.956,1
7027299,4,1,8,5,7,0.392,0.526,1.665,1
8715253,5,8,9,1,13,0.387,0.601,1.673,0
9282619,2,3,2,4,6,0.608,-0.138,0.172,1
5276979,6,4,7,9,0,0.738,0.538,0.965,0
5257477,7,2,4,3,4,0.465,-0.17,0.548,1
9232782,5,8,6,7,2,0.212,1.331,1.653,0
603512,1,8,8,6,6,0.089,1.184,1.463,1
8861178,7,5,8,9,11,0.614,0.994,1.995,0
5716254,3,3,1,6,10,0.057,0.976,0.04,0
9651869,5,7,3,4,9,0.175,1.016,0.932,0
7191755,2,4,6,2,4,0.492,-0.232,1.846,1
9496223,1,3,1,2,11,0.196,-0.108,0.265,0
9370776,8,2,9,7,7,0.085,0.867,1.56,0
2109359,7,8,5,4,10,0.527,1.374,0.4,0
3002791,5,4,7,5,10,0.387,0.688,1.905,1
6092810,1,7,6,7,8,0.825,0.131,1.522,1
357264,5,5,4,2,3,0.698,1.267,1.572,1
6961761,7,1,1,9,0,0.255,0.767,0.027,0
1294319,8,8,9,3,9,0.349,0.91,1.795,1
125390,9,1,3,1,10,0.557,1.147,0.551,1
3201160,1,6,1,6,5,0.941,0.486,1.609,1
7705675,3,1,3,1,1,0.761,1.104,0.468,0
3029593,5,7,8,3,14,0.054,0.989,0.749,1
429076,1,4,4,7,7,0.642,1.139,1.001,1
7235966,1,2,1,5,11,0.254,0.198,1.462,1
9384727,3,1,1,4,7,0.414,0.773,1.554,0
6210759,2,8,9,7,7,0.299,1.195,0.521,0
5778219,4,9,8,2,5,0.145,1.049,0.252,0
2555547,9,5,9,1,3,0.831,0.934,0.773,1
2222490,1,5,2,4,6,0.475,0.896,1.286,1
6952641,1,1,9,1,11,0.341,0.067,0.247,1
4763374,6,1,8,6,9,0.662,-0.148,1.779,1
7159100,1,3,4,6,13,0.857,0.934,1.615,1
6573386,6,7,6,9,11,0.264,-0.211,0.009,0
8997942,4,8,5,6,6,0.685,1.415,0.271,0
2210619,4,9,5,1,7,0.425,0.141,0.368,1
2851391,3,2,9,1,2,0.772,0.081,0.782,1
1465065,9,6,5,7,10,0.513,0.11,0.521,1
7853317,3,1,4,4,4,0.309,0.931,1.806,0
8897414,2,1,3,4,2,0.655,1.255,1.081,0
55544,6,3,9,7,7,0.247,0.378,1.756,1
1179691,8,9,6,1,11,0.878,0.653,1.271,1
166845,5,7,6,4,7,0.599,-0.012,1.761,1
2456615,5,9,3,9,5,0.279,-0.085,0.462,1
3894366,7,5,2,9,5,0.626,0.341,0.929,0
9114300,1,1,9,3,2,0.29,1.447,0.513,0
9843045,6,3,8,3,0,0.367,0.669,0.598,0
8120104,6,8,6,7,1,0.666,1.072,0.875,0
9568553,4,8,8,1,10,0.121,1.054,0.749,0
2212876,2,4,5,6,13,0.593,0.787,0.957,1
5627175,7,2,1,2,3,0.203,1.173,1.818,0
6414585,9,1,6,6,2,0.445,-0.061,0.309,0
1251860,9,1,6,1,6,0.136,-0.182,0.503,1
7996508,3,9,1,9,11,0.42,-0.284,1.926,0
1575789,6,4,4,6,12,0.165,1.493,1.043,0
2582316,2,5,3,5,6,0.922,0.53,1.775,1
4237490,4,5,8,8,14,0.862,0.882,1.439,0
2506051,8,7,8,9,7,0.257,1.348,1.324,0
1674422,8,8,5,3,6,0.409,0.723,1.92,1
1354611,9,6,3,2,1,0.716,0.561,1.691,1
4077467,6,3,2,3,14,0.561,0.096,0.085,1
3586445,6,4,6,2,10,0.462,-0.257,1.378,1
6806826,4,2,2,5,3,0.605,1.141,1.64,0
4992842,8,9,9,4,2,0.548,0.007,0.509,0
2788248,4,1,7,5,1,0.471,0.126,0.034,1
7052806,9,2,5,6,8,0.052,1.054,1.46,0
9292683,5,2,7,3,1,0.522,-0.192,0.084,0
4266892,9,4,4,1,14,0.437,1.157,0.37,0
2492080,2,3,6,9,5,0.619,0.766,0.627,1
6105582,8,5,5,3,8,0.427,0.127,1.083,0
6309613,4,6,2,7,3,0.151,-0.234,0.908,1
6784748,7,1,3,5,9,0.619,0.945,0.38,0
8533991,2,3,7,8,9,0.76,0.257,1.065,0
5874934,5,8,4,5,11,0.883,0.158,1.255,0
2659853,1,7,1,6,9,0.576,0.624,0.158,1
778068,9,3,2,7,4,0.696,0.807,1.105,1
747104,7,2,4,8,2,0.566,-0.171,0.404,1
915923,6,8,6,3,7,0.357,1.109,1.468,1
4694131,4,4,5,5,12,0.491,0.878,0.294,1
7635176,3,1,6,8,2,0.806,0.855,1.385,0
9715586,1,8,2,8,3,0.574,0.479,1.697,0
4214409,5,9,8,2,6,0.576,0.926,1.124,1
4663259,1,5,4,5,5,0.318,1.018,1.975,0
9396475,1,6,4,6,0,0.079,0.733,0.546,0
9241470,6,6,5,6,0,0.72,0.455,1.398,0
8045462,8,6,1,8,4,0.362,-0.273,1.55,0
9382656,9,9,4,6,8,0.216,1.412,0.058,0
8857242,4,1,2,9,8,0.069,1.098,1.982,0
6141248,1,3,5,6,3,0.323,1.479,0.938,0
2082965,6,5,7,8,4,0.707,1.064,1.382,1
9137776,1,8,4,6,13,0.543,0.685,0.144,0
8346550,6,4,8,4,7,0.267,1.122,1.128,0
6078560,3,6,5,6,13,0.428,1.059,1.401,0
6178291,3,6,7,9,2,0.776,1.205,0.367,0
1527962,8,1,3,3,1,0.693,0.385,0.265,1
3377968,7,5,8,6,7,0.536,0.843,1.325,1
1363523,1,9,7,8,2,0.645,0.857,0.516,1
2975988,5,4,6,7,5,0.126,0.505,0.916,1
3890325,8,1,6,2,7,0.107,0.493,1.981,1
9319253,8,7,3,6,11,0.138,0.803,0.705,0
599147,6,8,9,6,8,0.919,0.342,0.219,1
2543783,2,9,5,1,9,0.844,-0.098,0.05,1
5980460,7,6,5,4,9,0.581,0.309,1.319,0
9008501,3,1,2,3,8,0.644,0.769,0.336,1
3120755,4,6,1,3,6,0.633,0.732,1.298,1
8401174,5,6,9,7,7,0.788,0.305,0.441,0
5203889,3,8,7,7,8,0.814,0.851,1.166,1
3532948,2,6,9,5,2,0.261,0.682,1.938,1
3769723,4,9,8,7,13,0.903,-0.225,0.751,1
1477042,6,4,3,5,4,0.588,0.285,0.138,1
8592353,7,2,4,8,8,0.662,0.91,0.772,0
5007063,8,1,8,8,4,0.491,0.701,1.321,1
9973279,7,8,8,5,13,0.836,0.63,1.15,0
3825896,7,1,2,5,2,0.766,0.639,0.924,1
1064237,6,4,9,4,7,0.381,0.771,0.838,1
5623745,7,9,4,8,1,0.306,0.039,0.02,0
8809908,8,6,8,7,10,0.774,0.394,0.031,0
3305398,4,4,7,4,11,0.152,0.007,1.538,1
717937,8,6,7,3,7,0.441,1.11,1.52,1
9864300,2,6,3,7,0,0.546,0.845,1.715,0
4757468,2,9,6,6,9,0.8,0.281,0.586,1
2517063,9,7,1,7,4,0.356,1.271,1.517,0
9220465,3,2,5,8,14,0.256,-0.088,0.612,0
2054504,2,5,5,2,7,0.355,0.052,1.43,1
1074371,4,4,2,3,3,0.79,0.927,0.378,1
563280,9,7,6,4,1,0.619,0.327,0.449,1
7126700,1,5,3,8,2,0.059,1.082,0.071,0
8228381,1,1,9,1,10,0.683,0.465,1.953,1
5481881,2,2,3,4,7,0.41,0.997,1.602,0
7593413,8,5,4,5,4,0.21,-0.082,1.41,0
1660031,9,9,7,3,11,0.336,0.711,1.302,0
9608347,8,8,5,5,11,0.382,0.444,0.289,0
3303014,6,5,9,1,14,0.232,-0.128,1.14,1
7341981,1,6,2,5,1,0.399,1.406,1.097,0
2831623,7,3,1,2,0,0.283,1.435,1.541,0
3013873,1,7,2,3,4,0.06,0.705,1.049,1
8478741,6,4,5,6,7,0.503,0.064,0.042,0
8493821,1,1,7,2,14,0.233,0.026,0.954,1
8834415,3,1,9,2,1,0.248,1.45,0.612,0
8930755,8,1,9,1,13,0.619,0.058,0.652,1
5551832,2,2,4,1,5,0.463,-0.207,1.089,1
2784848,3,8,7,5,13,0.379,0.773,1.607,0
5485099,8,1,2,6,3,0.128,1.149,0.379,0
6141400,5,6,7,4,0,0.077,-0.284,0.757,0
2728950,2,7,2,7,10,0.196,0.972,1.995,1
1017594,1,5,5,8,13,0.357,0.628,0.617,1
5139175,7,1,7,5,5,0.501,-0.039,1.711,1
6890513,1,8,7,1,7,0.678,0.703,1.726,1
9632192,8,5,8,8,6,0.303,0.209,0.262,0
7621408,1,9,2,4,4,0.633,-0.077,1.459,1
3569207,1,2,5,8,5,0.396,0.683,0.795,1
8909094,1,5,8,8,6,0.226,0.791,1.246,0
2007150,8,6,5,4,2,0.813,0.673,0.223,1
8805942,6,8,5,4,0,0.199,0.95,0.109,0
8733667,4,4,8,8,2,0.107,1.133,1.96,0
3048019,4,8,3,6,1,0.633,1.358,1.477,0
6135680,2,4,3,4,7,0.761,0.316,0.519,1
9123920,1,7,4,3,14,0.711,0.785,0.651,0
492735,7,1,1,8,14,0.669,1.139,0.765,1
6525837,8,4,8,4,4,0.372,-0.068,1.877,0
5005167,6,1,1,1,8,0.857,1.378,1.82,1
4028034,5,5,2,8,0,0.638,0.582,0.079,0
8070546,2,3,3,3,8,0.937,0.4,0.223,0
7283267,9,9,8,2,2,0.25,1.373,1.388,0
5821443,9,6,2,4,8,0.227,1.423,1.9,0
6540724,9,3,5,7,14,0.832,0.838,1.032,0
1926374,2,2,2,6,5,0.756,0.982,0.431,1
7616397,4,7,5,4,0,0.524,1.223,0.602,0
3811835,5,5,2,9,5,0.496,-0.099,1.565,1
6345817,8,9,6,1,9,0.217,0.106,0.346,0
8870692,2,4,4,3,3,0.514,1.097,0.152,0
6277634,1,7,9,2,3,0.322,0.305,1.48,1
9467642,3,2,4,5,10,0.255,0.476,0.604,0
9611591,7,1,9,8,10,0.236,0.526,0.592,0
4723772,7,8,9,5,9,0.498,1.054,1.389,0
6312182,4,4,9,4,4,0.932,0.605,1.146,1
2414088,9,5,4,6,4,0.689,1.29,1.493,0
7133542,5,6,4,1,1,0.47,1.163,0.442,0
4434357,8,7,1,7,14,0.323,0.261,0.76,1
9857340,3,9,5,8,14,0.925,1.191,0.863,0
1575857,6,7,5,7,4,0.182,0.1,1.009,1
2511034,3,9,7,8,14,0.632,0.297,1.192,1
4147031,2,2,6,4,0,0.212,-0.124,1.667,1
1038439,6,5,6,8,1,0.202,0.729,0.563,1
1728125,2,1,9,7,9,0.477,-0.202,1.072,1
8549064,5,2,7,7,11,0.245,0.877,0.831,0
7120972,1,5,6,6,10,0.445,0.678,1.026,0
8079663,8,8,3,6,8,0.399,1.134,0.36,0
7683236,6,7,3,9,11,0.062,0.306,1.574,0
8623905,8,2,3,9,6,0.35,0.017,0.45,0
8351560,5,1,5,1,13,0.388,0.16,0.836,0
9242836,7,6,4,9,7,0.385,-0.025,1.194,0
2557825,3,3,6,5,2,0.894,0.178,0.092,1
110152,1,7,9,2,6,0.155,-0.283,0.917,1
557085,4,8,8,4,11,0.905,0.873,0.2,1
7187364,5,5,4,2,7,0.618,1.16,1.386,0
7168642,2,3,2,8,10,0.137,0.946,0.698,0
9551465,5,1,6,4,5,0.889,-0.233,0.842,1
9349561,6,4,2,9,8,0.592,0.228,0.071,0
5549663,8,8,6,4,4,0.321,-0.207,0.631,0
369108,6,5,4,7,14,0.374,1.048,0.391,0
5891121,4,5,5,6,8,0.471,1.29,0.876,0
2976995,7,8,7,4,7,0.486,1.424,0.201,0
7567997,1,6,5,7,14,0.308,1.495,1.926,0
538475,9,9,7,5,2,0.647,0.341,1.963,1
7489737,1,3,2,9,6,0.105,0.528,1.46,0
4124375,2,2,2,8,13,0.652,0.487,0.517,1
2977247,9,7,5,9,1,0.913,1.232,0.595,0
2259388,8,5,1,2,4,0.588,-0.247,0.138,1
6551468,5,3,9,1,3,0.768,0.79,0.522,1
1980034,1,7,7,5,8,0.55,1.317,0.207,1
9066625,7,5,7,2,13,0.36,1.221,1.114,0
8158218,7,8,5,9,9,0.258,0.894,0.435,0
9555815,2,1,6,8,6,0.498,0.982,1.918,0
2917757,7,7,4,4,3,0.586,1.048,1.624,1
7644663,9,5,9,9,6,0.93,0.65,1.855,0
660673,2,6,1,6,13,0.681,-0.147,0.846,1
9085437,3,9,1,7,9,0.207,0.628,1.579,0
8931664,3,8,5,6,3,0.142,0.213,1.672,0
7919015,8,9,1,7,14,0.743,1.422,1.284,0
8425867,1,4,9,3,5,0.173,-0.287,1.729,1
6948369,3,2,5,5,3,0.827,0.289,1.119,1
2356448,8,6,2,1,3,0.235,1.33,0.882,0
9716953,1,7,8,5,6,0.901,-0.176,1.509,0
2717985,8,2,4,9,14,0.677,-0.011,1.254,1
8738586,2,8,9,9,6,0.688,1.498,0.46,0
5938985,5,2,5,2,11,0.349,0.967,1.211,1
8674422,4,6,9,4,0,0.095,0.471,0.055,0
1130614,6,8,8,8,0,0.93,0.587,0.353,1
