sector,stage,country,funding,team_size,team_experience,market_size_bn,burn_rate,revenue_growth,customer_count,nps_score,patent_count,competition_level,business_model_score,months_since_founding,runway_months,success
HealthTech,Pre-Seed,Israel,399345,76,3,381.62,618084,2.029,40078,23,4,5,9,43,24,0
SaaS,Seed,Germany,914627,30,4,292.5,413243,4.086,23267,14,28,1,5,110,14,1
SaaS,Series A,Brazil,14191697,19,5,19.54,417202,3.784,47735,2,16,3,9,26,13,1
HealthTech,Pre-Seed,USA,328011,21,13,244.3,644992,1.75,42007,37,0,5,9,15,29,1
AI/ML,Seed,Israel,1190568,15,3,356.16,406742,2.741,7088,27,26,7,2,77,1,0
CleanTech,Series A,Canada,10764461,55,12,434.54,757157,4.145,31818,66,4,5,9,81,34,1
AI/ML,Pre-Seed,France,188439,32,14,467.05,316505,-0.105,12822,37,4,5,3,12,4,1
AI/ML,Series A,Singapore,11119550,59,7,164.06,533518,3.971,36589,36,6,7,3,44,28,0
AI/ML,Pre-Seed,USA,85362,105,5,68.35,39533,4.724,1436,66,15,8,9,43,19,1
HealthTech,Series C,USA,109938189,129,5,118.84,242033,-0.033,45665,18,17,8,7,5,1,0
AI/ML,Seed,Brazil,2199547,26,6,388.2,159388,0.037,27281,7,5,7,8,57,13,0
Cybersecurity,Pre-Seed,Australia,306157,20,7,485.76,149771,1.591,22481,43,1,3,7,18,5,1
FinTech,Seed,Canada,705827,137,10,233.46,744851,0.256,30469,41,12,2,9,46,33,0
E-Commerce,Seed,Australia,2800070,4,10,153.02,661729,2.292,18867,62,9,1,8,83,14,1
SaaS,Series A,Singapore,10638483,87,8,214.88,110960,3.589,40487,41,20,6,4,91,16,1
SaaS,Series A,USA,14498431,146,9,152.75,592753,2.748,22766,73,19,9,2,32,32,0
E-Commerce,Seed,Canada,842424,143,11,128.62,157745,0.821,29737,64,10,3,5,113,27,0
HealthTech,Pre-Seed,Canada,463083,10,4,297.08,295539,3.205,21213,67,25,5,2,101,35,1
EdTech,Pre-Seed,India,368667,95,5,8.36,114162,3.361,28355,64,20,9,4,39,3,0
HealthTech,Pre-Seed,France,449594,140,5,130.15,140704,4.649,22537,5,1,9,2,62,4,0
SaaS,Seed,USA,1240045,21,8,330.86,164779,0.563,2794,30,7,7,5,79,7,0
SaaS,Series B,USA,16156245,36,9,16.52,487965,3.4,44296,29,23,4,6,26,13,0
E-Commerce,Seed,Canada,1232318,54,7,42.06,85937,4.539,32324,15,21,2,1,104,3,0
AI/ML,Pre-Seed,Australia,208998,111,5,147.05,663935,2.408,30858,5,18,2,8,28,17,1
HealthTech,Seed,USA,2176079,137,3,438.96,654938,1.681,42850,12,19,4,2,60,10,0
Gaming,Series A,Canada,12011603,5,1,382.56,402888,0.688,13018,79,16,1,5,11,1,1
E-Commerce,Series A,USA,6762853,103,11,11.57,752092,4.307,17481,47,15,4,8,63,28,1
Cybersecurity,Series B,Canada,25391619,48,9,251.11,721776,1.85,15584,52,24,6,5,21,10,1
SaaS,Pre-Seed,India,467230,95,5,137.71,149830,4.609,9850,-13,9,6,3,30,7,0
E-Commerce,Pre-Seed,France,295847,49,9,324.5,601297,4.208,25701,45,4,7,6,9,3,1
HealthTech,Series B,Canada,28457080,92,10,360.92,416497,1.759,41223,72,13,5,1,47,7,0
SaaS,Series A,USA,7461918,85,12,431.5,269188,2.784,43952,2,23,9,1,88,9,1
EdTech,Seed,Singapore,1694601,69,13,237.97,255340,-0.059,45975,49,18,2,8,96,35,1
E-Commerce,Series A,France,4808516,140,14,497.23,42548,1.169,160,34,3,2,7,65,26,1
CleanTech,Series A,India,3956011,126,4,490.0,552659,3.493,25832,22,19,4,3,39,5,1
SaaS,Seed,Canada,1292955,74,5,441.14,378121,3.325,31210,79,15,4,8,18,13,1
HealthTech,Series A,Singapore,12655179,5,4,287.65,685004,1.638,22290,0,23,4,8,102,30,1
FinTech,Seed,Canada,2261126,77,2,199.3,234731,4.005,29441,1,14,1,1,7,10,0
Gaming,Seed,Australia,793313,74,12,182.51,164946,1.026,24886,-12,27,4,7,31,23,1
BioTech,Seed,USA,2118505,78,1,6.56,491875,2.199,32394,13,8,5,2,54,11,0
AI/ML,Series A,Israel,12991133,49,8,124.96,548569,2.257,8418,38,2,9,2,117,12,0
BioTech,Series A,Brazil,4717355,103,4,359.54,425505,1.572,7081,5,22,3,2,25,13,0
HealthTech,Series A,UK,8048336,107,5,302.01,261060,4.764,37180,-20,8,3,5,8,16,1
Cybersecurity,Pre-Seed,Australia,153619,78,6,458.25,408270,3.423,10114,79,17,5,7,38,9,1
Cybersecurity,Series A,Singapore,14872582,40,14,25.49,110020,2.604,18722,-16,3,6,4,59,10,1
FinTech,Series A,Australia,9848829,59,8,78.06,641796,2.455,21972,20,18,3,4,35,29,0
AI/ML,Series A,Germany,14631400,20,11,394.73,515626,0.628,17985,42,23,1,9,51,9,1
CleanTech,Series A,Canada,7900318,89,8,179.57,76846,1.735,5888,1,3,8,9,43,33,1
FinTech,Series A,Canada,12836530,114,7,59.61,366826,3.298,3718,47,8,1,7,82,24,1
BioTech,Seed,UK,633114,78,4,498.23,452985,4.608,32147,27,0,2,4,57,35,1
FinTech,Seed,UK,991638,78,6,393.73,301456,4.046,43382,45,0,3,8,100,11,1
BioTech,Pre-Seed,Germany,377329,29,4,204.67,499733,1.362,18309,-5,19,6,3,109,13,0
SaaS,Seed,USA,2387717,67,14,411.76,386330,2.057,19299,59,18,4,3,28,23,1
Cybersecurity,Seed,Brazil,1184076,11,7,340.46,419062,0.231,41211,32,2,4,7,39,25,1
SaaS,Series A,Israel,8583161,127,12,395.09,425699,0.331,22036,65,9,9,9,79,16,1
Gaming,Pre-Seed,Israel,348162,59,13,407.7,560846,2.245,19885,44,11,6,4,118,21,1
AI/ML,Pre-Seed,India,189133,143,12,42.82,577476,2.557,29346,58,17,2,4,19,10,0
CleanTech,Series A,India,6809697,126,13,311.67,678372,1.173,47971,43,13,7,1,98,19,1
BioTech,Pre-Seed,USA,347515,113,13,3.89,567524,3.142,49137,67,9,3,1,34,35,0
CleanTech,Pre-Seed,India,291422,85,11,22.21,507425,3.458,26691,47,9,9,3,30,28,0
BioTech,Pre-Seed,India,395165,144,14,452.04,579364,1.355,40042,42,17,6,7,95,2,1
HealthTech,Pre-Seed,Germany,464021,97,1,264.02,320546,3.744,48527,41,23,8,9,27,30,0
FinTech,Pre-Seed,Germany,320001,34,5,368.08,366611,0.869,17986,61,0,1,4,49,5,1
Gaming,Seed,India,2215556,146,14,419.33,173148,2.63,27846,60,29,2,2,24,15,1
Cybersecurity,Seed,Australia,2081041,142,10,474.82,614625,3.982,49665,50,14,6,6,93,3,1
BioTech,Series B,France,16399298,48,12,434.74,125827,2.592,47872,24,7,3,6,63,24,1
CleanTech,Seed,France,2162805,113,10,241.91,478380,4.521,41401,31,25,1,9,46,12,1
Gaming,Series A,USA,3782409,145,4,168.32,608552,0.104,8192,53,2,6,4,104,8,0
EdTech,Pre-Seed,Israel,61826,44,11,77.67,788060,2.859,39269,44,17,5,8,22,14,1
EdTech,Pre-Seed,UK,194962,9,7,200.46,578061,2.721,38487,-19,8,9,3,111,18,0
SaaS,Series A,USA,13830332,4,13,183.56,717518,3.234,9412,28,15,6,2,52,20,0
Cybersecurity,Pre-Seed,India,176044,126,9,280.01,300714,4.134,15963,1,20,5,9,90,23,1
HealthTech,Seed,Germany,1213391,13,5,332.92,97995,3.574,33623,75,14,1,6,49,5,1
CleanTech,Seed,Canada,2061232,85,4,489.17,50658,3.909,1017,8,29,1,8,49,1,1
FinTech,Seed,Australia,1005350,17,9,364.33,462400,1.302,5279,14,4,1,9,74,2,1
FinTech,Pre-Seed,Singapore,387164,79,5,322.05,392784,1.815,10412,60,12,7,1,53,16,0
CleanTech,Seed,Germany,2734967,60,9,167.88,330338,3.059,7712,55,21,6,1,57,5,0
AI/ML,Seed,France,2520880,64,8,17.73,208579,2.678,15817,3,19,5,5,80,22,0
HealthTech,Pre-Seed,Germany,153475,50,4,144.42,384016,4.798,28080,73,6,4,9,41,1,1
Gaming,Series A,Australia,14189893,52,11,384.34,456288,0.772,6624,9,15,8,7,16,12,1
BioTech,Series A,UK,13804946,34,11,103.03,710948,1.627,29126,63,6,8,7,71,19,1
AI/ML,Series C,India,199943263,31,7,356.24,261953,2.778,16579,21,26,5,2,49,22,1
BioTech,Pre-Seed,Canada,273177,77,5,290.1,78582,4.313,15131,50,24,4,3,23,17,0
BioTech,Series A,France,14206362,16,10,86.34,727103,4.633,37462,29,21,2,4,17,13,1
AI/ML,Seed,France,1987564,83,4,131.18,447734,1.547,46815,50,15,7,2,102,28,0
SaaS,Seed,Brazil,2509810,93,5,248.4,153775,0.149,37419,39,12,5,9,99,3,0
EdTech,Pre-Seed,Israel,210020,24,5,209.48,583744,1.992,23375,9,16,3,5,83,5,0
BioTech,Series A,UK,4255959,95,11,389.39,589779,1.851,26093,-9,8,9,7,86,15,1
AI/ML,Pre-Seed,France,119093,46,9,367.34,280187,4.93,45494,28,11,9,9,3,17,1
AI/ML,Seed,Israel,2613687,63,12,287.5,375356,2.042,32525,74,12,8,5,82,29,1
E-Commerce,Pre-Seed,France,378634,16,9,411.23,528943,1.39,29030,61,25,1,6,111,4,0
SaaS,Series A,India,4619426,47,6,281.55,774291,1.7,44067,25,8,3,4,84,32,1
Cybersecurity,Series A,Israel,13744676,65,14,482.21,340484,1.864,5207,22,4,2,8,12,4,1
E-Commerce,Series A,Australia,10005351,76,4,109.0,151248,4.072,10897,-19,6,4,1,25,13,0
E-Commerce,Pre-Seed,Brazil,280063,53,2,357.21,407152,0.221,26639,76,0,2,1,20,20,0
CleanTech,Pre-Seed,India,91269,89,14,185.29,565462,1.446,2792,54,3,8,5,115,18,0
EdTech,Seed,Australia,1629250,58,3,139.84,354776,4.825,420,77,27,1,9,60,12,1
AI/ML,Seed,Canada,1328894,84,2,90.6,360912,0.596,29224,59,25,4,2,75,25,0
EdTech,Pre-Seed,UK,446343,67,5,276.48,642465,3.662,19198,33,3,5,3,112,30,1
HealthTech,Series A,UK,11673899,21,6,108.13,560197,1.653,35608,14,15,4,8,119,15,1
CleanTech,Series C,Singapore,169090471,34,11,100.58,54158,2.825,46205,31,4,8,5,96,8,1
Cybersecurity,Series A,Singapore,10059916,73,5,495.27,673726,0.318,17415,12,21,2,3,79,28,1
EdTech,Series A,Israel,5188077,26,2,400.97,226197,1.393,40407,64,3,9,6,54,22,0
FinTech,Series C,UK,189002701,47,12,374.26,719697,2.404,17875,63,5,2,6,118,16,1
BioTech,Pre-Seed,Israel,149468,74,5,397.13,795772,1.005,4975,51,25,2,5,97,5,0
HealthTech,Seed,Singapore,1790906,99,9,484.48,778278,2.618,26461,30,22,2,5,48,34,1
SaaS,Series C,Canada,133687685,58,4,286.85,737402,0.943,21331,5,2,8,6,109,11,0
Cybersecurity,Pre-Seed,France,481888,88,12,110.51,454140,3.181,16893,76,24,3,2,15,2,1
HealthTech,Series A,Australia,4435367,134,10,431.17,432058,4.503,18243,41,7,8,6,98,25,1
BioTech,Seed,Germany,2040450,56,2,371.49,682818,0.245,15535,40,16,7,2,19,25,0
CleanTech,Seed,Israel,2189576,62,3,207.45,97367,0.926,5061,5,28,4,3,69,1,0
BioTech,Series A,Canada,6246849,90,3,237.05,337526,4.191,1858,16,17,7,2,63,31,0
E-Commerce,Series B,Australia,27595379,9,9,205.92,84319,3.084,25489,9,17,8,1,67,5,0
BioTech,Series A,UK,8387059,17,4,465.01,283314,0.209,13678,74,25,6,1,55,4,0
E-Commerce,Pre-Seed,France,127994,117,1,172.09,654240,2.329,34833,76,24,6,9,7,5,0
CleanTech,Series B,Australia,44454330,62,1,481.76,614433,0.891,47159,-10,11,3,4,34,5,1
Gaming,Pre-Seed,Brazil,93481,16,7,455.18,796427,0.835,19350,32,24,5,5,91,16,0
E-Commerce,Seed,Singapore,2147982,132,7,315.45,229643,4.691,13346,20,24,2,7,47,18,1
SaaS,Seed,Australia,1934730,103,2,290.12,700538,3.76,48005,-16,0,5,2,58,17,1
BioTech,Seed,Germany,944854,55,9,185.36,220244,3.42,6773,45,22,5,9,7,35,1
BioTech,Seed,Canada,660185,15,9,9.66,674399,1.042,29465,-8,11,7,4,103,18,0
SaaS,Series B,France,30005252,37,5,64.25,24990,0.417,9788,42,10,4,1,89,4,0
FinTech,Series A,India,9502483,106,3,377.24,671801,4.328,32343,61,12,6,8,78,31,1
AI/ML,Seed,Australia,1478534,83,3,236.03,526641,-0.169,46862,69,2,9,4,36,31,0
Gaming,Pre-Seed,USA,323958,68,12,75.34,139327,1.818,37210,4,26,4,7,63,9,1
Cybersecurity,Series B,Germany,39478732,11,3,132.35,299006,1.244,9247,23,24,6,3,89,31,0
E-Commerce,Series B,Germany,42535144,50,6,473.94,430489,2.766,45963,-7,7,9,9,82,5,1
SaaS,Series A,USA,12284276,112,4,183.88,664511,1.103,41983,48,2,1,5,115,16,0
CleanTech,Pre-Seed,Brazil,107836,66,8,453.89,213161,1.418,35972,38,16,8,5,64,16,1
E-Commerce,Pre-Seed,India,319579,58,13,152.67,360933,4.22,16959,35,24,1,3,71,20,1
AI/ML,Pre-Seed,Singapore,305095,28,11,271.84,361595,2.937,49350,31,12,4,9,65,30,1
CleanTech,Pre-Seed,Canada,382745,114,13,10.73,127782,0.558,23807,45,9,3,3,46,26,1
HealthTech,Seed,France,981632,134,11,261.18,798797,3.578,34133,47,16,4,2,113,31,1
BioTech,Series B,Canada,41475576,72,11,318.65,344348,0.879,24218,-9,2,7,9,30,15,1
HealthTech,Seed,India,2846869,84,5,117.54,408216,2.052,21734,54,12,9,9,72,20,0
E-Commerce,Pre-Seed,Canada,184479,58,1,289.68,62499,3.162,22828,47,21,9,4,15,35,0
AI/ML,Pre-Seed,USA,411087,121,9,323.76,267023,1.214,17400,22,5,1,4,45,23,0
Gaming,Pre-Seed,Germany,82940,94,1,343.6,341355,1.797,20002,52,13,1,6,32,25,1
E-Commerce,Pre-Seed,Canada,55666,16,6,388.31,153979,3.618,32793,53,26,9,9,28,22,1
SaaS,Pre-Seed,Israel,349266,112,1,156.01,158408,4.677,36492,70,9,4,8,83,8,1
EdTech,Pre-Seed,Australia,430791,102,3,284.1,717691,2.552,32217,-15,19,3,3,65,9,0
E-Commerce,Series A,India,10496196,120,10,490.8,381603,-0.148,36226,-6,15,9,6,75,15,0
BioTech,Series C,Brazil,128510809,77,5,449.12,349899,1.56,27932,21,17,5,7,59,20,1
BioTech,Seed,Israel,1409834,21,10,476.36,340927,1.873,43327,10,12,6,6,66,35,1
E-Commerce,Seed,USA,2803869,132,7,193.38,735311,1.564,30875,65,9,1,3,82,3,0
CleanTech,Series A,UK,12800518,74,14,393.57,717869,2.069,25046,32,5,1,9,51,34,1
EdTech,Pre-Seed,USA,412612,123,10,310.14,425596,3.09,23664,-15,9,7,4,54,34,0
SaaS,Pre-Seed,Brazil,441351,42,8,41.83,375296,0.43,24453,12,4,8,2,65,35,0
E-Commerce,Series B,Brazil,15026505,131,12,412.08,168352,1.218,4746,8,28,8,9,84,9,1
CleanTech,Pre-Seed,Israel,86713,24,9,338.71,162931,2.44,23973,0,5,7,3,15,30,0
BioTech,Seed,Australia,1329601,24,6,99.86,240413,1.441,13217,33,6,9,6,95,26,0
BioTech,Seed,India,1752930,145,11,40.33,451618,4.954,23362,35,10,1,5,109,12,1
AI/ML,Seed,Singapore,2150375,10,9,418.59,149334,2.043,41835,73,15,2,2,111,24,1
E-Commerce,Seed,Germany,2375530,14,8,39.91,156626,4.323,9133,0,24,3,1,90,19,1
EdTech,Series A,Israel,3212204,52,9,46.13,541296,4.462,35809,79,11,5,9,47,16,1
FinTech,Pre-Seed,Brazil,300694,65,10,213.99,90799,4.147,40533,34,11,4,3,110,26,1
EdTech,Pre-Seed,UK,299836,53,4,67.83,245018,0.044,5404,37,29,4,7,48,23,0
BioTech,Series A,France,10050305,39,9,456.88,289297,4.728,33339,43,22,8,9,79,33,1
BioTech,Seed,Brazil,1028168,101,7,235.41,69353,0.469,28725,65,19,8,9,91,30,0
HealthTech,Pre-Seed,Australia,486670,147,5,284.79,586380,-0.021,8796,25,25,7,6,43,23,0
BioTech,Series B,Australia,32750431,52,5,464.09,253907,1.955,45380,63,4,1,8,48,10,1
SaaS,Seed,Brazil,1067827,138,1,265.37,708512,0.812,48073,1,15,4,9,3,31,0
Cybersecurity,Series A,Australia,13725816,142,2,177.12,583392,0.758,21364,39,28,1,3,75,22,0
E-Commerce,Series A,Israel,11325857,56,10,398.68,165355,1.297,41341,-10,5,5,6,70,2,1
EdTech,Seed,Brazil,1767633,110,3,221.7,449645,1.092,1236,26,28,3,5,94,23,0
Cybersecurity,Seed,Brazil,1007800,45,14,159.58,753894,3.361,2380,10,8,3,7,14,35,1
CleanTech,Series C,India,85580614,111,14,361.75,38887,0.771,39945,56,4,4,7,90,32,1
FinTech,Pre-Seed,Germany,493942,129,8,400.9,449388,2.624,14538,-3,20,2,9,112,12,1
SaaS,Series A,UK,11437392,106,6,395.96,305845,4.929,11971,1,22,7,1,75,35,1
EdTech,Pre-Seed,Australia,163034,11,12,488.85,182606,2.048,43065,35,15,4,6,37,3,1
Cybersecurity,Seed,India,2509413,101,10,393.44,261420,3.138,34285,-4,17,5,5,104,34,1
FinTech,Seed,Singapore,2273462,149,11,385.08,605730,4.841,17917,17,18,2,4,101,24,1
HealthTech,Series B,Singapore,36152933,110,13,428.81,546567,0.516,38655,4,11,6,1,35,17,1
SaaS,Series C,Canada,156270719,109,14,0.59,708851,1.977,11486,11,1,9,4,60,1,0
SaaS,Pre-Seed,Israel,326693,141,5,181.53,655026,4.221,37410,-6,25,8,7,119,8,0
HealthTech,Pre-Seed,Israel,369064,147,13,368.93,479363,4.648,25446,-8,9,8,4,37,15,1
E-Commerce,Series A,USA,7934990,95,1,300.06,673621,2.926,21703,37,11,2,1,48,25,0
HealthTech,Seed,UK,2017307,64,12,89.2,669834,0.546,44191,69,13,4,1,86,8,0
SaaS,Pre-Seed,Brazil,310464,85,11,152.21,625702,4.488,11399,29,17,8,1,68,32,0
SaaS,Series A,Australia,12850716,26,12,168.73,430141,0.707,38829,-10,18,1,5,46,13,1
Cybersecurity,Seed,UK,2754407,13,9,284.13,354318,1.635,12685,-8,5,8,7,28,15,1
BioTech,Series C,Canada,113794852,26,3,415.88,230079,1.753,22241,76,4,3,9,44,6,1
FinTech,Pre-Seed,USA,74624,12,3,466.28,539075,2.126,4487,29,26,8,8,79,33,0
HealthTech,Seed,India,2027573,65,2,375.17,252951,3.909,12018,17,15,6,2,32,7,0
FinTech,Seed,UK,1070993,127,4,421.55,214470,3.971,30825,-20,13,7,9,118,33,1
HealthTech,Series A,India,8856494,51,12,235.31,723537,3.542,7750,18,12,2,4,34,29,1
CleanTech,Seed,Singapore,1346822,90,2,195.19,315868,-0.085,17684,6,20,1,5,38,32,0
SaaS,Seed,Australia,2665521,100,13,196.66,544951,2.737,43118,15,1,6,5,21,3,1
BioTech,Pre-Seed,Canada,251893,117,9,308.21,419336,3.687,14410,11,1,3,4,24,20,1
Cybersecurity,Series A,Brazil,9102493,97,12,62.56,688100,2.112,15105,20,11,4,6,67,14,1
BioTech,Seed,Australia,1200146,15,10,289.96,505262,4.714,18913,-6,0,9,1,59,28,1
BioTech,Pre-Seed,Germany,275758,2,7,332.73,143107,4.084,36028,10,18,3,2,13,4,1
BioTech,Series A,Israel,13562185,26,8,219.73,634559,3.118,49515,-15,27,2,4,28,15,1
FinTech,Pre-Seed,Canada,473502,73,3,476.61,601676,0.125,47342,68,27,2,4,50,17,0
HealthTech,Pre-Seed,UK,65994,70,6,304.3,62335,3.192,46480,31,26,2,8,21,24,1
Gaming,Series B,Australia,32795759,134,10,110.39,53315,4.54,49997,61,15,6,9,85,8,1
CleanTech,Seed,France,611915,106,6,239.87,318771,1.773,17711,1,29,2,4,14,3,0
EdTech,Series A,Israel,11773713,148,13,337.86,411519,4.158,24967,10,6,7,6,69,30,1
BioTech,Pre-Seed,Israel,154672,24,1,162.15,512870,1.428,36023,79,26,7,4,58,22,0
E-Commerce,Series A,France,10104527,10,6,40.28,59334,2.765,36005,52,20,7,4,20,33,0
FinTech,Pre-Seed,USA,329349,119,13,291.93,196964,3.172,26622,25,6,2,9,115,25,1
Cybersecurity,Seed,USA,818821,95,14,473.96,202268,3.326,45201,46,15,7,4,7,30,1
EdTech,Series C,France,138113314,145,3,242.79,49726,4.389,9497,76,24,8,6,114,3,1
Gaming,Series A,Germany,4121889,34,11,453.1,503657,1.02,16350,70,5,8,9,26,4,1
E-Commerce,Seed,Singapore,1249211,131,3,417.59,216823,1.164,48709,22,17,2,3,80,29,1
Gaming,Seed,France,2493384,15,3,74.13,714966,3.461,22696,-20,0,5,7,117,32,1
EdTech,Series B,Singapore,21524367,2,10,354.23,782333,0.721,27470,23,0,6,7,40,23,1
BioTech,Seed,Australia,1644634,91,11,218.02,172325,2.214,30889,36,25,9,1,69,19,0
E-Commerce,Series A,Germany,5185028,90,11,125.5,689590,-0.096,10224,-12,24,6,2,72,15,0
Gaming,Series A,Canada,7803958,145,10,343.63,195046,0.533,41724,-16,13,6,5,78,16,1
Cybersecurity,Pre-Seed,Singapore,63403,91,11,371.46,420141,3.33,5465,58,5,6,8,54,23,1
HealthTech,Pre-Seed,Israel,392196,15,8,90.36,596749,3.687,16882,-12,5,9,6,77,1,1
SaaS,Series A,Australia,3772838,112,13,457.27,799097,0.4,32203,24,3,7,7,41,19,1
HealthTech,Pre-Seed,Israel,311420,144,5,375.7,299169,0.984,27944,71,11,1,3,61,35,0
EdTech,Pre-Seed,Germany,385639,84,4,466.72,426749,0.314,29837,56,29,1,6,28,30,0
FinTech,Series B,Singapore,25648764,73,13,158.88,528982,2.054,2944,3,17,4,9,67,17,1
SaaS,Seed,India,858234,131,9,469.7,293142,0.456,24336,53,9,2,3,82,26,0
CleanTech,Series A,Germany,4825260,28,9,184.57,333392,2.074,38624,21,2,3,6,50,13,0
Cybersecurity,Seed,Germany,2565306,75,1,27.46,638781,3.607,44764,1,2,7,7,115,22,0
CleanTech,Seed,India,1081529,100,2,381.6,295201,3.354,31796,39,7,7,5,113,23,1
E-Commerce,Pre-Seed,Australia,191439,73,8,351.9,613532,1.258,28789,65,21,3,8,55,33,0
SaaS,Seed,Singapore,2662182,24,5,299.16,224680,3.304,45420,16,22,2,8,11,27,1
CleanTech,Pre-Seed,Singapore,227577,69,7,245.2,211703,4.624,24222,18,24,1,6,7,35,1
CleanTech,Seed,Israel,1712980,143,1,16.57,369175,1.607,38845,63,0,9,7,118,12,0
Gaming,Series A,Germany,6099834,118,12,312.49,640175,1.511,135,53,17,3,3,74,9,1
HealthTech,Seed,Germany,1755973,107,10,208.71,525728,2.771,15773,53,14,9,7,63,34,1
Gaming,Seed,Brazil,605185,94,12,280.32,77173,1.077,42060,69,24,4,7,23,14,1
SaaS,Seed,Canada,555182,66,5,214.95,745566,3.188,26447,68,20,6,4,99,3,0
SaaS,Pre-Seed,Germany,345135,69,11,483.05,48734,4.128,4033,32,19,7,4,105,21,1
EdTech,Seed,UK,2177465,129,12,302.25,596360,2.188,20497,7,16,6,3,109,7,1
Gaming,Pre-Seed,Canada,228735,64,3,374.74,467391,3.333,14178,56,24,1,7,65,33,0
AI/ML,Pre-Seed,UK,378030,114,10,468.21,244046,3.19,6546,-6,10,6,5,22,35,1
HealthTech,Pre-Seed,Singapore,172002,91,12,296.0,204855,0.001,8396,39,12,6,3,60,11,0
SaaS,Seed,Canada,2943144,82,12,6.53,366338,0.754,20978,39,24,5,6,119,32,0
EdTech,Series A,Germany,14427391,104,14,17.63,736099,4.446,43331,-15,19,3,6,47,22,1
Gaming,Pre-Seed,India,369836,117,2,351.32,228126,4.682,12882,31,24,3,6,24,19,0
HealthTech,Seed,Israel,2372508,14,2,139.9,454258,3.858,16945,-9,9,7,2,79,11,0
Gaming,Seed,UK,1108434,125,9,289.9,717717,4.59,21784,-2,12,8,7,105,13,1
CleanTech,Pre-Seed,Canada,97997,148,13,101.54,149741,1.392,3314,75,16,3,7,77,28,1
EdTech,Series B,Germany,48698807,89,4,135.49,647560,1.088,18595,54,20,3,4,84,15,0
HealthTech,Seed,Canada,2019644,12,4,252.57,602190,1.798,18755,76,0,7,6,65,13,0
BioTech,Seed,Germany,535187,16,7,487.8,422126,0.088,32311,-19,19,7,4,32,33,0
E-Commerce,Seed,Germany,1489280,11,10,308.33,66959,4.011,45695,34,15,9,4,65,8,1
E-Commerce,Pre-Seed,Germany,182965,42,10,468.11,630911,4.918,30598,-6,15,6,6,99,32,1
HealthTech,Seed,Brazil,2217689,74,13,479.71,665726,4.085,35449,43,27,7,9,46,4,1
Gaming,Seed,Israel,2018560,53,2,104.45,582703,2.686,35574,79,20,1,7,69,18,1
EdTech,Series B,India,22069222,129,3,155.94,134716,1.335,44729,48,29,7,2,60,23,0
E-Commerce,Pre-Seed,India,368174,29,3,385.11,393353,0.828,18639,-6,26,2,6,67,29,0
EdTech,Seed,Canada,1041797,66,6,433.45,19907,1.693,45370,22,2,7,5,38,2,0
E-Commerce,Seed,Canada,568653,18,3,259.85,567068,3.268,31023,53,1,3,6,8,13,0
CleanTech,Pre-Seed,Germany,218001,96,11,496.62,461095,2.125,9092,-4,5,9,8,39,16,1
Gaming,Seed,Brazil,2863338,139,5,6.28,569373,4.657,6382,77,10,5,8,95,8,1
CleanTech,Series A,Germany,8436526,64,4,150.15,468715,4.242,42710,3,28,7,3,77,19,0
E-Commerce,Series A,Brazil,10639377,39,3,311.77,279629,0.332,3159,53,2,8,9,118,32,0
BioTech,Seed,Germany,2296218,71,8,234.91,321671,0.484,5656,9,25,2,6,57,3,1
BioTech,Series A,UK,13772926,105,14,58.74,239632,3.316,1452,46,0,1,7,79,32,1
CleanTech,Series C,UK,64387810,54,10,184.21,790504,1.0,42203,30,10,7,9,77,21,1
BioTech,Series B,Singapore,49106658,120,3,13.21,780497,3.913,18706,39,12,6,7,61,25,1
E-Commerce,Pre-Seed,Germany,224750,75,6,321.55,101005,2.875,9862,-18,4,6,9,40,17,1
HealthTech,Series A,Israel,8098907,55,13,446.42,592816,0.995,10219,-16,17,2,1,117,25,1
CleanTech,Seed,Singapore,760710,21,7,442.49,654919,2.289,23481,7,14,3,1,27,33,0
FinTech,Series C,Canada,126778368,80,7,349.92,299943,1.912,34536,57,17,4,3,81,31,1
Gaming,Seed,Australia,2540403,32,2,233.15,788074,4.34,6096,-10,14,3,9,119,23,1
BioTech,Pre-Seed,Germany,183058,136,14,256.26,410662,-0.033,37953,51,19,2,1,79,25,0
BioTech,Series A,UK,10416510,59,3,68.89,191532,4.458,11855,51,19,3,1,108,30,0
SaaS,Seed,Australia,1953953,106,12,170.84,366961,3.191,43262,55,19,6,5,35,13,1
AI/ML,Series C,Brazil,109658449,11,10,94.27,330404,3.635,14460,-6,6,9,8,15,29,1
CleanTech,Series C,Australia,57467133,11,10,410.69,155949,-0.186,33937,62,16,4,2,40,16,0
Cybersecurity,Series A,Israel,12794027,40,4,457.42,269673,3.067,21094,27,28,6,4,119,27,1
BioTech,Pre-Seed,Germany,241996,38,7,268.69,427939,2.86,39358,25,7,1,6,60,26,1
Gaming,Series A,India,12931711,120,2,364.02,285087,2.593,49538,7,27,6,1,90,11,0
FinTech,Pre-Seed,Australia,411417,68,3,61.17,413522,3.887,27924,-14,12,3,4,22,3,0
BioTech,Pre-Seed,India,255380,44,7,304.46,177856,2.691,17789,50,25,9,4,110,26,0
FinTech,Series A,Brazil,7782337,53,7,351.54,521844,4.257,123,73,15,4,9,19,34,1
E-Commerce,Pre-Seed,Singapore,182283,102,10,226.66,393545,1.01,48394,61,24,7,9,116,33,0
